15:12:23.718 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.049 seconds (JVM running for 4.868)
15:12:23.718 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
15:45:44.040 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 21980 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
15:45:44.056 [main] DEBUG com.coronavirus.tracker.Covid19TrackerApplication - Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
15:45:44.056 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
15:45:49.028 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 5.365 seconds (JVM running for 6.488)
15:45:49.028 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
15:47:33.443 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 9332 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
15:47:33.443 [main] DEBUG com.coronavirus.tracker.Covid19TrackerApplication - Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
15:47:33.443 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
15:48:07.863 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 28716 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
15:48:07.876 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
15:54:27.992 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 29516 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
15:54:28.002 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
15:54:41.792 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 14.077 seconds (JVM running for 14.899)
15:54:41.792 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
02:12:43.434 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 10144 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
02:12:43.442 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
02:12:47.553 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.469 seconds (JVM running for 5.797)
